Date,ADANIENT,ADANIPORTS,APOLLOHOSP,ASIANPAINT,AXISBANK,BAJAJ-AUTO,BAJFINANCE,BAJAJFINSV,BEL,BPCL,BHARTIARTL,BRITANNIA,CIPLA,COALINDIA,DRREDDY,EICHERMOT,GRASIM,HCLTECH,HDFCBANK,HEROMOTOCO,HINDALCO,HINDUNILVR,ICICIBANK,INDUSINDBK,INFY,JSWSTEEL,KOTAKBANK,LT,M&M,MARUTI,NTPC,NESTLEIND,ONGC,POWERGRID,RELIANCE,SHRIRAMFIN,SBIN,SUNPHARMA,TCS,TATACONSUM,TATAMOTORS,TATASTEEL,TECHM,TITAN,TRENT,ULTRACEMCO,WIPRO
2021-02-26,833.6500244140625,675.9000244140625,3058.64990234375,2277.199951171875,724.7999877929688,3798.699951171875,5264.89990234375,964.8599853515625,45.70000076293945,224.9250030517578,546.0479736328125,3363.75,787.0499877929688,152.1999969482422,885.3099975585938,2498.60009765625,1196.0443115234375,909.4500122070312,1534.4000244140625,3224.0,340.25,2132.050048828125,597.75,1062.949951171875,1253.300048828125,395.45001220703125,1780.3499755859375,1442.5,806.4000244140625,6866.14990234375,107.30000305175781,1610.1600341796875,111.0,120.54377746582031,962.5963745117188,1282.949951171875,390.1499938964844,594.5999755859375,2894.300048828125,609.1500244140625,322.95001220703125,71.51499938964844,918.8499755859375,1406.9000244140625,808.6500244140625,6115.0,205.14999389648438
2021-03-01,851.5,692.9000244140625,3081.14990234375,2362.300048828125,728.5499877929688,3814.050048828125,5266.7998046875,977.405029296875,48.650001525878906,227.625,522.39208984375,3411.800048828125,789.7999877929688,154.35000610351562,890.6799926757812,2556.14990234375,1260.936279296875,930.3499755859375,1558.9000244140625,3350.199951171875,344.1000061035156,2143.39990234375,608.3499755859375,1067.949951171875,1267.0,405.1000061035156,1845.4000244140625,1472.8499755859375,819.4500122070312,7015.0,108.44999694824219,1629.2449951171875,117.05000305175781,127.82815551757812,969.9342041015625,1333.5999755859375,394.95001220703125,604.4500122070312,2924.199951171875,624.5499877929688,328.29998779296875,73.04000091552734,936.0,1452.1500244140625,830.4000244140625,6365.0498046875,207.1999969482422
2021-03-02,872.5499877929688,720.5,3087.300048828125,2390.39990234375,731.25,3944.050048828125,5316.2998046875,987.7000122070312,50.5,234.5,531.2262573242188,3447.949951171875,811.7999877929688,153.39999389648438,880.9400024414062,2602.300048828125,1289.6221923828125,953.75,1568.199951171875,3476.39990234375,345.25,2177.949951171875,610.5,1073.3499755859375,1304.5,413.29998779296875,1844.6500244140625,1485.6500244140625,860.0499877929688,7214.10009765625,112.55000305175781,1657.614990234375,113.5,126.59065246582031,971.9186401367188,1350.550048828125,394.20001220703125,614.2000122070312,3006.35009765625,632.3499755859375,345.75,73.55000305175781,967.0999755859375,1471.1500244140625,905.9000244140625,6423.10009765625,215.1999969482422
2021-03-03,915.3499755859375,729.8499755859375,3057.0,2402.10009765625,753.9500122070312,3901.10009765625,5542.89990234375,1039.56005859375,50.96666717529297,233.1750030517578,536.2322387695312,3481.14990234375,812.5,154.89999389648438,900.510009765625,2599.050048828125,1312.8797607421875,965.25,1586.8499755859375,3424.35009765625,359.3500061035156,2193.5,632.0999755859375,1099.75,1343.550048828125,428.1499938964844,1899.5,1496.9000244140625,852.0499877929688,7124.7001953125,112.69999694824219,1669.925048828125,114.0,127.96878051757812,1016.268798828125,1362.1500244140625,405.04998779296875,624.3499755859375,3059.10009765625,636.9000244140625,348.5,77.71499633789062,976.0,1474.5999755859375,910.9000244140625,6500.5,217.75
2021-03-04,918.4000244140625,752.4500122070312,3042.10009765625,2417.10009765625,736.7999877929688,3879.050048828125,5485.89990234375,1012.9949951171875,50.93333435058594,231.9499969482422,529.6557006835938,3501.89990234375,806.75,152.0500030517578,915.010009765625,2593.199951171875,1345.0517578125,958.0,1552.050048828125,3419.85009765625,349.45001220703125,2196.89990234375,620.75,1091.949951171875,1330.3499755859375,414.1000061035156,1897.699951171875,1462.5999755859375,845.25,7131.60009765625,110.80000305175781,1666.1800537109375,112.69999694824219,126.64690399169922,1004.1544189453125,1339.3499755859375,395.6499938964844,618.9500122070312,3049.699951171875,631.0999755859375,339.20001220703125,75.79499816894531,968.0499877929688,1470.5,927.0499877929688,6775.5498046875,219.39999389648438
2021-03-05,909.9000244140625,748.9500122070312,2879.5,2387.10009765625,730.75,3852.85009765625,5444.89990234375,995.8099975585938,49.0,230.89999389648438,522.9810180664062,3491.75,805.1500244140625,151.10000610351562,898.5,2587.75,1334.0455322265625,941.5,1530.0,3461.699951171875,337.8500061035156,2201.10009765625,609.4500122070312,1039.9000244140625,1316.699951171875,406.3999938964844,1922.5,1463.550048828125,840.4000244140625,7249.0,108.69999694824219,1678.2900390625,114.94999694824219,123.89065551757812,1005.4696655273438,1289.199951171875,383.6499938964844,611.2000122070312,3008.050048828125,622.6500244140625,325.1499938964844,73.33000183105469,959.7000122070312,1474.199951171875,881.4000244140625,6810.2998046875,210.4250030517578
2021-03-08,910.2000122070312,748.4000244140625,2866.60009765625,2382.699951171875,743.2999877929688,3798.75,5320.64990234375,983.9099731445312,48.349998474121094,233.35000610351562,516.0119018554688,3463.199951171875,809.25,153.14999389648438,898.4500122070312,2583.25,1338.9261474609375,961.9000244140625,1519.5,3463.949951171875,336.6000061035156,2174.550048828125,608.0499877929688,1018.25,1335.75,407.8500061035156,1915.8499755859375,1515.199951171875,851.0,7259.5,110.55000305175781,1685.2449951171875,118.25,123.83440399169922,1011.1923217773438,1265.8499755859375,389.6000061035156,614.7999877929688,3006.949951171875,616.0499877929688,321.25,73.7249984741211,968.5,1456.75,884.5999755859375,6668.14990234375,208.4499969482422
2021-03-09,905.2000122070312,750.75,2886.10009765625,2422.699951171875,745.4500122070312,3798.75,5415.0498046875,996.9149780273438,46.666664123535156,222.9499969482422,512.1346435546875,3426.75,797.0,151.6999969482422,889.6599731445312,2592.699951171875,1360.9385986328125,973.1500244140625,1562.5,3448.85009765625,333.25,2198.5,625.0999755859375,1024.800048828125,1345.550048828125,401.6000061035156,1978.949951171875,1508.300048828125,852.0,7301.5498046875,109.5,1691.0799560546875,116.75,121.50003051757812,1011.169189453125,1270.25,387.6000061035156,612.5999755859375,3050.949951171875,611.7000122070312,315.20001220703125,70.67500305175781,988.1500244140625,1456.9000244140625,905.75,6697.39990234375,209.60000610351562
2021-03-10,898.1500244140625,745.3499755859375,2904.10009765625,2431.949951171875,760.75,3867.550048828125,5545.0498046875,999.14501953125,46.58333206176758,222.75,516.1591186523438,3480.35009765625,812.4000244140625,150.9499969482422,900.0800170898438,2672.300048828125,1379.5645751953125,988.5,1555.75,3419.35009765625,340.3500061035156,2227.85009765625,625.5999755859375,1039.8499755859375,1368.1500244140625,414.0,1963.949951171875,1524.199951171875,863.7999877929688,7272.10009765625,109.6500015258789,1693.14501953125,114.4000015258789,121.02190399169922,1006.9695434570312,1315.4000244140625,387.70001220703125,626.0,3070.949951171875,620.9500122070312,321.45001220703125,72.44999694824219,1008.75,1471.25,912.2000122070312,6764.0498046875,213.35000610351562
2021-03-12,894.0999755859375,728.1500244140625,2976.35009765625,2401.35009765625,750.5999755859375,3746.39990234375,5557.85009765625,993.4099731445312,46.68333435058594,228.77499389648438,514.5394897460938,3434.25,805.9500122070312,150.5,885.2999877929688,2637.5,1374.0364990234375,979.25,1551.949951171875,3350.550048828125,330.20001220703125,2204.75,612.8499755859375,1022.6500244140625,1374.8499755859375,418.75,1935.1500244140625,1514.0,855.7999877929688,7096.2001953125,109.0999984741211,1672.2449951171875,115.05000305175781,123.77815246582031,986.5020751953125,1325.449951171875,381.1000061035156,613.5999755859375,3057.949951171875,615.25,317.54998779296875,71.99500274658203,1003.25,1482.5,876.5499877929688,6638.14990234375,212.60000610351562
